"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC2A2",2.07069172134023,-1.49726053671657,7.49952415035171,-0.199647405181881,0.841756350094555,NA
"TNIK",1063.54423595678,-0.467607990267177,0.385969291827336,-1.21151604588368,0.225697688763022,0.759766332833785
"PLD1",845.774492046968,-0.453755085125122,0.537101222606148,-0.844822290523544,0.39821006714796,0.873699333500191
"FNDC3B",3486.34136120242,0.176684391931904,0.394292780851296,0.448104557102045,0.654077739333704,0.966925247750891
"RPS27AP8",2.0716295352059,4.62365652684815,7.38670219076496,0.625943270412169,0.53135215157931,NA
"RN7SL141P",5.70437949872178,0.314924696971832,3.98204059818804,0.0790862597219961,0.936964012432813,NA
"TNFSF10",341.920306759703,1.92173683569546,0.731847728872861,2.62586978121142,0.00864278746990943,0.195152688501232
"NCEH1",211.523623492443,0.71658976955606,0.821850177409875,0.871922631706972,0.38325058629586,0.864888851100483
"ECT2",1057.72164376924,0.560585736274075,0.450776458952143,1.24360029265324,0.213646708429274,0.7486940853455
"ATP5MC1P4",17.2260094370294,3.91317661666788,3.33935128785964,1.17183736580647,0.2412623576787,0.770960119692091
"MMACHCP1",1.12985063891377,1.50987881780114,7.47300864067702,0.202044302422264,0.839882089984496,NA
"SPATA16",2.12204392421805,-5.9783099267249,7.23618880005681,-0.826168317592538,0.40870861782704,NA
"NLGN1",200.140086745764,0.531898994288617,0.641217135493512,0.829514629048772,0.406813262308917,0.878298828700718
"NLGN1-AS1",1.78287972525816,4.42079468743449,7.4183294561534,0.595928600039124,0.551222926138906,NA
"RN7SKP234",0.835785020187837,-0.541048333952636,7.51652056237628,-0.0719812218250073,0.942616851893573,NA
"NAALADL2",122.454102826665,-1.22264615107045,0.94050241111351,-1.29999257484401,0.193603514060557,0.726440959249503
"UBE2V1P2",0.966468704633875,1.26217287875927,7.5192958299763,0.167857856280573,0.86669510543071,NA
"NAALADL2-AS1",1.10311504261123,-1.01180929739161,7.51663221998871,-0.134609392581553,0.892920714996882,NA
"LINC01208",5.0046620698685,-0.650857319016304,5.65480377313716,-0.115098126323705,0.908367345012348,NA
"TBL1XR1",2144.39049783521,0.16884008619648,0.268800467518957,0.62812422818637,0.529922562577002,0.934428387484054
"Y_RNA.173",7.08457140702973,-3.16784708880065,4.0377664577272,-0.784554312877169,0.432714925843509,NA
"RNU6-681P",3.51894112660034,3.4443374653805,7.1256650406477,0.483370667261595,0.628832571697911,NA
"LINC00501",0.833232787683561,0.142483607782723,7.52236484941046,0.0189413317002152,0.984887907518517,NA
"LINC00578",1.13161103696341,-0.318363011305839,7.51554762709135,-0.0423605872921666,0.96621124691387,NA
"LINC02015",1.19189303957068,-0.309692667488475,7.51552255735838,-0.0412070704498462,0.967130817058169,NA
"KCNMB2",2.3123699641145,5.070457282138,7.38180632734686,0.686885710256828,0.492154752485451,NA
"KCNMB2-AS1",12.1083179726731,-1.73060288340728,2.04096199027296,-0.847934891318495,0.396474231709109,0.873033217215404
"ZMAT3",4467.07155343744,-0.220559811000966,0.388272746323707,-0.568053805190546,0.569998433646392,0.946731179982992
"PIK3CA",431.146743657977,-0.086283858983341,0.394515133944931,-0.218708616119617,0.826877036779271,0.993690725568951
"KCNMB3",23.0319059508489,2.10354993455631,1.54624928923582,1.3604209548875,0.173696751024726,0.699036200704101
"LRRFIP1P1",11.1867581308383,1.39913096251855,2.68343103813985,0.521396280594721,0.602090741957379,0.953657079355455
"ZNF639",609.017972497895,0.714125554155452,0.312278062019173,2.28682588055643,0.0222059882401541,0.300655490176968
"MFN1",676.633549554913,-0.0530692823763021,0.37646184168563,-0.140968556437703,0.887894782575669,0.997894714965317
"GNB4",928.436014034348,0.381509123158119,0.406694774379044,0.938072351041688,0.348207229676086,0.849082485423641
"ACTL6A",588.803108341124,-0.365582402793868,0.429378112665809,-0.85142300459643,0.39453441724569,0.872112965892747
"MRPL47",1259.47108067754,0.16451220161271,0.280350012785791,0.586810037845122,0.557331294516715,0.943302473977463
"NDUFB5",1686.31098785947,0.115347783624129,0.31218794366515,0.369481864898185,0.711768588112596,0.980273135730129
"H3P13",2.16439963669544,-5.42898309269893,7.21736593559387,-0.752211144778571,0.45192409253801,NA
